date, pm25, pm10, o3, no2, so2, co
2015-05-06, 71, 83, 53, 19, 3, 5
2015-05-07, 137, 70, 51, 21, 5, 7
2015-05-08, 118, 43, 27, 15, 4, 19
2015-05-09, 109, 45, 15, 21, 2, 27
2015-05-10, 117, 16, 35, 17, 1, 16
2015-05-11, 87, 38, 44, 24, 1, 4
2015-05-12, 66, 100, 82, 42, 2, 9
2015-05-13, 156, 69, 45, 13, 1, 3
2015-05-14, 74, 45, 51, 14, 1, 3
2015-05-15, 86, 81, 91, 23, 4, 6
2015-05-16, 127, 117, 73, 21, 9, 10
2015-05-17, 187, 71, 45, 22, 1, 6
2015-05-18, 123, 48, 39, 11, 1, 1
2015-05-19, 52, 31, 50, 10, 2, 2
2015-05-20, 54, 64, 67, 20, 3, 5
2015-05-21, 102, 67, 106, 23, 7, 7
2015-05-22, 143, 93, 118, 30, 9, 8
2015-05-23, 171, 104, 119, 31, 9, 11
2015-05-24, 185, 105, 132, 23, 13, 9
2015-05-25, 172, 96, 126, 17, 11, 7
2015-05-26, 165, 89, 113, 15, 6, 8
2015-05-27, 171, 96, 104, 18, 14, 10
2015-05-28, 180, 68, 75, 27, 4, 9
2015-05-29, 150, 66, 102, 23, 3, 8
2015-05-30, 153, 72, 110, 24, 7, 8
2015-05-31, 147, 113, 112, 22, 8, 9
2015-06-01, 174, 47, 41, 13, 4, 8
2015-06-02, 104, 65, 55, 18, 3, 4
2015-06-03, 101, 63, 31, 24, 3, 7
2015-06-04, 124, 64, 86, 21, 2, 9
2015-06-05, 123, 42, 69, 12, 1, 3
2015-06-06, 81, 26, 37, 17, 1, 6
2015-06-07, 59, 29, 55, 18, 2, 3
2015-06-08, 57, 74, 102, 29, 8, 11
2015-06-09, 135, 59, 44, 18, 3, 10
2015-06-10, 149, 18, 37, 15, 1, 7
2015-06-11, 71, 21, 37, 15, 1, 3
2015-06-12, 35, 20, 54, 10, 1, 3
2015-06-13, 47, 31, 71, 18, 1, 5
2015-06-14, 60, 87, 123, 24, 10, 14
2015-06-15, 161, 105, 131, 32, 11, 11
2015-06-16, 170, 47, 86, 21, 1, 7
2015-06-17, 107, 29, 45, 15, 1, 5
2015-06-18, 66, 30, 34, 14, 1, 5
2015-06-19, 61, 31, 89, 20, 1, 6
2015-06-20, 80, 61, 108, 23, 3, 7
2015-06-21, 115, 78, 122, 20, 10, 10
2015-06-22, 159, 100, 120, 22, 9, 16
2015-06-23, 219, 85, 50, 21, 6, 9
2015-06-24, 169, 94, 51, 29, 3, 9
2015-06-25, 169, 105, 106, 13, 1, 8
2015-06-26, 175, 74, 95, 15, 3, 7
2015-06-27, 135, 115, 112, 17, 4, 10
2015-06-28, 180, 126, 25, 21, 3, 10
2015-06-29, 148, 25, 42, 17, 1, 3
2015-06-30, 49, 37, 36, 20, 1, 3
2015-07-01, 62, 16, 40, 12, 3, 1
2015-07-02, 27, 55, 90, 19, 5, 9
2015-07-03, 78, 47, 41, 22, 4, 6
2015-07-04, 85, 61, 117, 22, 6, 9
2015-07-05, 146, 60, 114, 17, 5, 8
2015-07-06, 140, 65, 111, 18, 5, 8
2015-07-07, 145, 82, 124, 17, 5, 9
2015-07-08, 173, 63, 115, 18, 6, 7
2015-07-09, 146, 59, 101, 15, 5, 6
2015-07-10, 112, 82, 122, 18, 7, 11
